transaction_id,customer_transaction_id,transaction_date,transaction_time,sales_outlet_id,staff_id,customer_id,instore_yn,order,line_item_id,product_id,quantity,line_item_amount,unit_price,promo_item_yn
1,7,2019-04-01,12:04:43,3,12,558,N,1,1,52,1,2.5,2.5,N
2,11,2019-04-01,15:54:39,3,17,781,N,1,1,27,2,7,3.5,N
3,19,2019-04-01,14:34:59,3,17,788,Y,1,1,46,2,5,2.5,N
4,32,2019-04-01,16:06:04,3,12,683,N,1,1,23,2,5,2.5,N
5,33,2019-04-01,19:18:37,3,17,99,Y,1,1,34,1,2.45,2.45,N
6,39,2019-04-01,18:54:46,3,17,664,Y,1,1,32,1,3,3,N
7,50,2019-04-01,13:03:49,3,12,316,N,1,1,49,2,6,3,N
8,53,2019-04-01,11:21:14,3,12,38,N,1,1,60,1,3.75,3.75,N
9,59,2019-04-01,19:30:55,3,12,370,Y,1,1,51,2,6,3,N
10,62,2019-04-01,12:01:00,3,12,180,Y,1,1,49,2,6,3,N
11,81,2019-04-01,13:20:51,3,12,35,Y,1,1,35,2,6.2,3.1,N
12,90,2019-04-01,11:40:20,3,17,595,N,1,1,47,1,3,3,N
13,91,2019-04-01,12:27:43,3,12,500,N,1,1,25,2,4.4,2.2,N
14,94,2019-04-01,17:37:02,3,17,128,Y,1,1,23,2,5,2.5,N
15,101,2019-04-01,12:26:34,3,17,599,Y,1,1,48,2,5,2.5,N
16,103,2019-04-01,14:33:32,3,17,152,Y,1,1,53,2,6,3,N
17,108,2019-04-01,16:11:18,3,17,65,N,1,1,40,1,3.75,3.75,N
18,112,2019-04-01,13:03:38,3,12,90,Y,1,1,37,2,6,3,N
19,117,2019-04-01,18:25:04,3,12,82,Y,1,1,60,1,3.75,3.75,N
20,120,2019-04-01,15:51:44,3,12,174,N,1,1,53,2,6,3,N
21,127,2019-04-01,13:58:40,3,12,116,N,1,1,41,2,8.5,4.25,N
22,134,2019-04-01,11:49:29,3,17,189,Y,1,1,38,2,7.5,3.75,N
23,135,2019-04-01,17:01:36,3,17,131,Y,1,1,40,1,3.75,3.75,N
24,137,2019-04-01,11:10:04,3,17,264,Y,1,1,40,1,3.75,3.75,N
25,138,2019-04-01,13:17:42,3,17,722,Y,1,1,38,1,3.75,3.75,N
26,141,2019-04-01,14:07:25,3,17,302,Y,1,1,50,1,2.5,2.5,N
27,143,2019-04-01,13:17:00,3,12,174,Y,1,1,59,2,9,4.5,N
28,150,2019-04-01,12:24:53,3,17,604,Y,1,1,28,1,2,2,N
29,156,2019-04-01,12:30:00,3,17,32,N,1,1,34,1,2.45,2.45,N
30,156,2019-04-01,12:30:00,3,17,32,N,1,5,77,1,3,3,N
31,162,2019-04-01,19:07:40,3,17,470,N,1,1,55,1,4,4,N
32,165,2019-04-01,16:44:46,3,12,127,Y,1,1,54,2,5,2.5,N
33,175,2019-04-01,19:54:12,3,17,553,Y,1,1,47,1,3,3,N
34,180,2019-04-01,17:52:36,3,17,518,Y,1,1,45,2,6,3,N
35,199,2019-04-01,14:24:55,3,12,112,Y,1,1,41,2,8.5,4.25,N
36,199,2019-04-01,14:24:55,3,12,112,Y,1,5,79,1,3.75,3.75,N
37,202,2019-04-01,17:26:58,3,17,437,N,1,1,37,2,6,3,N
38,212,2019-04-01,17:03:21,3,17,552,N,1,1,50,1,2.5,2.5,N
39,219,2019-04-01,15:03:55,3,12,194,Y,1,1,43,1,3,3,N
40,224,2019-04-01,14:54:27,3,17,788,N,1,1,38,2,7.5,3.75,N
41,226,2019-04-01,16:30:12,3,12,533,Y,1,1,40,1,3.75,3.75,N
42,227,2019-04-01,12:09:11,3,17,521,N,1,1,28,2,4,2,N
43,238,2019-04-01,15:48:10,3,17,512,Y,1,1,41,1,4.25,4.25,N
44,247,2019-04-01,19:04:32,3,17,178,Y,1,1,23,1,2.5,2.5,N
45,248,2019-04-01,14:30:49,3,12,416,Y,1,1,32,2,6,3,N
46,249,2019-04-01,11:15:38,3,12,22,Y,1,1,52,1,2.5,2.5,N
47,260,2019-04-01,18:14:31,3,12,642,Y,1,1,61,2,9.5,4.75,N
48,262,2019-04-01,11:52:08,3,12,189,N,1,1,58,1,3.5,3.5,N
49,268,2019-04-01,16:04:10,3,17,223,N,1,1,42,2,5,2.5,N
50,269,2019-04-01,19:25:00,3,12,40,Y,1,1,53,1,3,3,N
51,270,2019-04-01,11:27:00,3,17,344,N,1,1,49,1,3,3,N
52,276,2019-04-01,16:10:37,3,12,401,N,1,1,42,2,5,2.5,N
53,281,2019-04-01,11:27:06,3,12,189,N,1,1,31,2,4.4,2.2,N
54,290,2019-04-01,14:58:35,3,12,517,N,1,1,43,1,3,3,N
55,296,2019-04-01,14:49:18,3,17,328,Y,1,1,39,1,4.25,4.25,N
56,296,2019-04-01,14:49:18,3,17,328,Y,1,5,79,1,3.75,3.75,N
57,297,2019-04-01,12:05:26,3,12,331,N,1,1,48,2,5,2.5,N
58,298,2019-04-01,18:30:05,3,17,414,N,1,1,55,2,8,4,N
59,317,2019-04-01,19:57:08,3,12,567,N,1,1,48,1,2.5,2.5,N
60,325,2019-04-01,19:23:13,3,12,526,N,1,1,22,2,4,2,N
61,326,2019-04-01,12:05:31,3,12,659,N,1,1,52,2,5,2.5,N
62,334,2019-04-01,18:12:37,3,17,492,N,1,1,25,2,4.4,2.2,N
63,337,2019-04-01,18:14:17,3,17,655,Y,1,1,39,2,8.5,4.25,N
64,344,2019-04-01,17:28:16,3,12,500,Y,1,1,41,1,4.25,4.25,N
65,357,2019-04-01,15:34:10,3,12,530,N,1,1,41,2,8.5,4.25,N
66,357,2019-04-01,15:34:10,3,12,530,N,1,5,76,1,3.5,3.5,N
67,360,2019-04-01,15:30:57,3,17,114,Y,1,1,38,2,7.5,3.75,N
68,366,2019-04-01,18:33:47,3,17,301,N,1,1,51,1,3,3,N
69,384,2019-04-01,16:04:18,3,17,602,Y,1,1,54,2,5,2.5,N
70,385,2019-04-01,11:32:46,3,12,565,Y,1,1,31,2,4.4,2.2,N
71,389,2019-04-01,17:00:27,3,12,335,Y,1,1,29,1,2.5,2.5,N
72,390,2019-04-01,12:20:37,3,12,52,Y,1,1,25,1,2.2,2.2,N
73,391,2019-04-01,18:05:52,3,12,216,N,1,1,33,2,7,3.5,N
74,391,2019-04-01,18:05:52,3,12,216,N,1,5,79,1,3.75,3.75,N
75,396,2019-04-01,14:45:31,3,17,550,Y,1,1,47,1,3,3,N
76,405,2019-04-01,19:31:31,3,17,481,N,1,1,26,2,6,3,N
77,411,2019-04-01,12:23:27,3,12,516,N,1,1,22,2,4,2,N
78,413,2019-04-01,16:03:50,3,17,508,N,1,1,31,1,2.2,2.2,N
79,413,2019-04-01,16:03:50,3,17,508,N,1,5,76,1,3.5,3.5,N
80,421,2019-04-01,19:52:28,3,17,717,N,1,1,34,2,4.9,2.45,N
81,422,2019-04-01,14:14:08,3,17,641,Y,1,1,26,1,3,3,N
82,426,2019-04-01,15:45:16,3,17,525,N,1,1,46,2,5,2.5,N
83,427,2019-04-01,19:03:00,3,12,384,Y,1,1,22,1,2,2,N
84,429,2019-04-01,12:56:59,3,17,784,Y,1,1,47,1,3,3,N
85,434,2019-04-01,17:26:52,3,12,383,N,1,1,26,2,6,3,N
86,446,2019-04-01,12:15:02,3,12,659,Y,1,1,50,2,5,2.5,N
87,447,2019-04-01,14:51:44,3,17,235,Y,1,1,30,1,3,3,N
88,451,2019-04-01,12:55:25,3,12,319,Y,1,1,49,1,3,3,N
89,457,2019-04-01,16:17:06,3,12,647,N,1,1,34,2,4.9,2.45,N
90,459,2019-04-01,18:09:04,3,17,320,Y,1,1,35,1,3.1,3.1,N
91,461,2019-04-01,17:54:11,3,17,326,Y,1,1,56,2,5.1,2.55,N
92,470,2019-04-01,18:38:00,3,12,122,Y,1,1,41,1,4.25,4.25,N
93,474,2019-04-01,18:13:09,3,12,453,Y,1,1,59,1,4.5,4.5,N
94,480,2019-04-01,16:37:34,3,17,185,N,1,1,26,2,6,3,N
95,483,2019-04-01,19:15:15,3,12,393,N,1,1,55,1,4,4,N
96,490,2019-04-01,16:24:40,3,12,392,Y,1,1,47,2,6,3,N
97,490,2019-04-01,16:24:40,3,12,392,Y,1,5,74,1,3.5,3.5,N
98,494,2019-04-01,18:25:42,3,12,241,N,1,1,35,1,3.1,3.1,N
99,495,2019-04-01,18:51:23,3,17,777,N,1,1,24,2,6,3,N
100,497,2019-04-01,16:49:38,3,12,407,Y,1,1,52,1,2.5,2.5,N
101,501,2019-04-01,16:16:43,3,17,659,N,1,1,39,1,4.25,4.25,N
102,510,2019-04-01,15:15:17,3,12,288,Y,1,1,35,2,6.2,3.1,N
103,510,2019-04-01,15:15:17,3,12,288,Y,1,5,79,1,3.75,3.75,N
104,511,2019-04-01,18:07:54,3,12,15,N,1,1,26,2,6,3,N
105,513,2019-04-01,11:08:11,3,17,486,Y,1,1,59,1,4.5,4.5,N
106,516,2019-04-01,16:02:33,3,12,206,Y,1,1,43,2,6,3,N
107,516,2019-04-01,16:02:33,3,12,206,Y,1,5,71,1,3.75,3.75,N
108,523,2019-04-01,14:00:44,3,17,315,N,1,1,25,1,2.2,2.2,N
109,528,2019-04-01,17:12:46,3,17,197,Y,1,1,55,2,8,4,N
110,529,2019-04-01,19:49:37,3,12,329,N,1,1,36,1,3.75,3.75,N
111,530,2019-04-01,19:28:35,3,17,184,Y,1,1,55,1,4,4,N
112,534,2019-04-01,18:52:34,3,17,474,N,1,1,22,1,2,2,N
113,537,2019-04-01,12:18:27,3,17,706,Y,1,1,38,1,3.75,3.75,N
114,539,2019-04-01,17:18:36,3,17,384,Y,1,1,29,1,2.5,2.5,N
115,541,2019-04-01,19:17:34,3,12,537,Y,1,1,52,2,5,2.5,N
116,546,2019-04-01,18:49:48,3,17,128,N,1,1,27,1,3.5,3.5,N
117,550,2019-04-01,11:12:39,3,17,349,Y,1,1,22,2,4,2,N
118,554,2019-04-01,17:11:09,3,17,245,N,1,1,25,1,2.2,2.2,N
119,555,2019-04-01,18:23:47,3,17,244,N,1,1,32,2,6,3,N
120,558,2019-04-01,13:44:48,3,12,65,Y,1,1,56,1,2.55,2.55,N
121,562,2019-04-01,13:03:13,3,12,616,N,1,1,43,2,6,3,N
122,565,2019-04-01,11:45:11,3,12,284,N,1,1,51,2,6,3,N
123,566,2019-04-01,12:20:16,3,17,384,Y,1,1,60,2,7.5,3.75,N
124,575,2019-04-01,17:41:55,3,17,269,N,1,1,55,2,8,4,N
125,575,2019-04-01,17:41:55,3,17,269,N,1,5,71,1,3.75,3.75,N
126,580,2019-04-01,11:15:17,3,17,736,N,1,1,54,2,5,2.5,N
127,585,2019-04-01,17:58:05,3,17,385,N,1,1,52,2,5,2.5,N
128,586,2019-04-01,15:14:19,3,12,25,Y,1,1,26,2,6,3,N
129,588,2019-04-01,12:45:52,3,17,200,Y,1,1,28,2,4,2,N
130,590,2019-04-01,16:39:24,3,17,450,Y,1,1,36,1,3.75,3.75,N
131,591,2019-04-01,16:32:46,3,17,644,N,1,1,51,2,6,3,N
132,593,2019-04-01,18:18:10,3,17,482,N,1,1,59,1,4.5,4.5,N
133,599,2019-04-01,12:58:29,3,12,83,N,1,1,41,1,4.25,4.25,N
134,601,2019-04-01,11:47:57,3,17,199,N,1,1,23,1,2.5,2.5,N
135,601,2019-04-01,11:47:57,3,17,199,N,1,5,69,1,3.25,3.25,N
136,602,2019-04-01,16:22:38,3,12,425,N,1,1,22,1,2,2,N
137,610,2019-04-01,15:30:16,3,12,222,Y,1,1,43,1,3,3,N
138,611,2019-04-01,11:17:40,3,17,776,N,1,1,51,2,6,3,N
139,616,2019-04-01,11:30:18,3,12,190,N,1,1,30,2,6,3,N
140,625,2019-04-01,18:34:46,3,12,729,Y,1,1,25,2,4.4,2.2,N
141,625,2019-04-01,18:34:46,3,12,729,Y,1,5,77,1,3,3,N
142,641,2019-04-01,16:48:51,3,12,749,Y,1,1,59,1,4.5,4.5,N
143,646,2019-04-01,18:16:21,3,12,281,Y,1,1,54,2,5,2.5,N
144,660,2019-04-01,19:58:29,3,17,362,Y,1,1,55,1,4,4,N
145,675,2019-04-01,15:29:24,3,17,271,Y,1,1,57,1,3.1,3.1,N
146,675,2019-04-01,15:29:24,3,17,271,Y,1,5,70,1,3.25,3.25,N
147,676,2019-04-01,11:09:01,3,12,289,N,1,1,59,1,4.5,4.5,N
148,677,2019-04-01,14:01:57,3,12,124,Y,1,1,36,2,7.5,3.75,N
149,684,2019-04-01,11:57:17,3,12,693,Y,1,1,37,2,6,3,N
150,691,2019-04-01,17:39:57,3,12,602,N,1,1,25,1,2.2,2.2,N
151,691,2019-04-01,17:39:57,3,12,602,N,1,5,77,1,3,3,N
