transaction_id,customer_id,line_item_id,transaction_date,line_item_amount,annual_income,prod_comb_choice
20210101-1,831,LI2,2021-01-01,3.197052174992859,20533.902260940522,Pastry
20210101-10,225,LI1,2021-01-01,2.5909468381432816,26869.71256043762,Pastry
20210101-11,926,LI4,2021-01-01,3.7696291505824777,108983.24148729444,Pastry
20210101-12,225,LI6,2021-01-01,6.881810421682895,26869.71256043762,Pastry
20210101-13,926,LI1,2021-01-01,5.255349587649107,108983.24148729444,Pastry
20210101-14,715,LI1,2021-01-01,2.5871028144611046,83286.97353601456,Pastry
20210101-14,715,LI4,2021-01-01,3.2330664232606066,83286.97353601456,Pastry
20210101-15,880,LI22,2021-01-01,5.192508269660175,102140.52279246971,Pastry_&_Breverage
20210101-16,3,LI2,2021-01-01,6.0405385925900195,73166.99983552098,Pastry
20210101-17,1055,LI1,2021-01-01,2.305373943876475,92190.76693989336,Pastry
20210101-18,1227,LI2,2021-01-01,3.0292933724820617,84170.10452365503,Pastry
20210101-19,185,LI1,2021-01-01,2.5243653426878154,97264.61522514,Pastry
20210101-19,185,LI4,2021-01-01,3.1728561685420575,97264.61522514,Pastry
20210101-2,225,LI22,2021-01-01,5.12461678176187,26869.71256043762,Pastry_&_Breverage
20210101-20,1140,LI2,2021-01-01,2.9628917348105457,53753.98927601054,Pastry
20210101-21,1055,LI22,2021-01-01,5.242473576706834,92190.76693989336,Pastry_&_Breverage
20210101-22,926,LI1,2021-01-01,2.426937979180366,108983.24148729444,Pastry
20210101-3,187,LI2,2021-01-01,2.872190856048837,54454.2550900951,Pastry
20210101-4,187,LI2,2021-01-01,3.246686814213172,54454.2550900951,Pastry
20210101-4,187,LI6,2021-01-01,7.051439779787325,54454.2550900951,Pastry
20210101-5,1227,LI1,2021-01-01,2.395939633483067,84170.10452365503,Pastry
20210101-6,926,LI1,2021-01-01,2.4253816400887445,108983.24148729444,Pastry
20210101-6,926,LI2,2021-01-01,3.1487656120676544,108983.24148729444,Pastry
20210101-7,3,LI1,2021-01-01,2.292166107799858,73166.99983552098,Pastry
20210101-8,1227,LI22,2021-01-01,5.087497799727134,84170.10452365503,Pastry_&_Breverage
20210101-9,715,LI22,2021-01-01,11.448875427083113,83286.97353601456,Pastry_&_Breverage
20210102-1,915,LI2,2021-01-02,3.2617511639837176,60799.53436506912,Pastry
20210102-10,712,LI1,2021-01-02,2.502455587266013,87709.5056627877,Pastry
20210102-11,882,LI2,2021-01-02,2.8966823978349563,139738.47649991512,Pastry
20210102-11,882,LI4,2021-01-02,3.5808372720144694,139738.47649991512,Pastry
20210102-12,1144,LI1,2021-01-02,2.4026293964125216,143988.6211999692,Pastry
20210102-12,1144,LI4,2021-01-02,3.3030713052721694,143988.6211999692,Pastry
20210102-13,1507,LI22,2021-01-02,5.067247329861857,96012.31163367629,Pastry_&_Breverage
20210102-14,496,LI4,2021-01-02,3.3927522347075865,149082.72209577262,Pastry
20210102-15,578,LI2,2021-01-02,2.8398640250321474,22387.330883648247,Pastry
20210102-15,578,LI22,2021-01-02,5.356064980709926,22387.330883648247,Pastry_&_Breverage
20210102-16,1144,LI2,2021-01-02,3.272187630459666,143988.6211999692,Pastry
20210102-17,578,LI1,2021-01-02,2.6576249793870375,22387.330883648247,Pastry
20210102-18,991,LI22,2021-01-02,5.8221905946964405,31338.509239722043,Pastry_&_Breverage
20210102-18,991,LI4,2021-01-02,3.798351487657055,31338.509239722043,Pastry
20210102-19,991,LI4,2021-01-02,3.631472208909691,31338.509239722043,Pastry
20210102-2,712,LI2,2021-01-02,2.778064070921391,87709.5056627877,Pastry
20210102-20,1144,LI1,2021-01-02,2.5281049013137817,143988.6211999692,Pastry
20210102-21,496,LI2,2021-01-02,2.8178684729151424,149082.72209577262,Pastry
20210102-3,915,LI22,2021-01-02,5.960423398506828,60799.53436506912,Pastry_&_Breverage
20210102-4,898,LI22,2021-01-02,5.22666721213609,69517.48101739213,Pastry_&_Breverage
20210102-5,496,LI4,2021-01-02,3.4888406912097705,149082.72209577262,Pastry
20210102-6,898,LI2,2021-01-02,3.15115543724969,69517.48101739213,Pastry
20210102-7,578,LI22,2021-01-02,5.721445301850327,22387.330883648247,Pastry_&_Breverage
20210102-8,991,LI1,2021-01-02,2.631813474697992,31338.509239722043,Pastry
20210102-9,882,LI22,2021-01-02,5.122031928808428,139738.47649991512,Pastry_&_Breverage
20210103-1,694,LI22,2021-01-03,6.0176199383102364,38213.46149081364,Pastry_&_Breverage
20210103-10,75,LI2,2021-01-03,2.819071573577821,81791.1546328105,Pastry
20210103-11,399,LI1,2021-01-03,4.902797090820968,35328.79936508834,Pastry
20210103-12,1215,LI1,2021-01-03,2.3725067394552752,30266.253084409982,Pastry
20210103-13,1133,LI2,2021-01-03,2.8596135664265603,111387.3355067335,Pastry
20210103-14,399,LI2,2021-01-03,3.2003317158669233,35328.79936508834,Pastry
20210103-14,399,LI4,2021-01-03,3.474592232168652,35328.79936508834,Pastry
20210103-15,895,LI2,2021-01-03,2.809015663946047,125490.27550965548,Pastry
20210103-16,422,LI1,2021-01-03,2.3920436467742547,103751.22867058963,Pastry
20210103-17,895,LI2,2021-01-03,3.0997912692837417,125490.27550965548,Pastry
20210103-2,399,LI22,2021-01-03,5.148864321201108,35328.79936508834,Pastry_&_Breverage
20210103-3,1214,LI2,2021-01-03,2.9001255942508575,86023.83724879473,Pastry
20210103-3,1214,LI22,2021-01-03,4.978613824327477,86023.83724879473,Pastry_&_Breverage
20210103-4,1214,LI1,2021-01-03,2.5085235598962754,86023.83724879473,Pastry
20210103-4,1214,LI22,2021-01-03,5.200526470434852,86023.83724879473,Pastry_&_Breverage
20210103-5,399,LI2,2021-01-03,2.9400618173182007,35328.79936508834,Pastry
20210103-6,1215,LI1,2021-01-03,2.58503529347945,30266.253084409982,Pastry
20210103-6,1215,LI2,2021-01-03,2.741416278295219,30266.253084409982,Pastry
20210103-7,1215,LI1,2021-01-03,2.312900468125008,30266.253084409982,Pastry
20210103-8,614,LI22,2021-01-03,5.046644424996339,149095.8214434795,Pastry_&_Breverage
20210103-9,758,LI1,2021-01-03,2.3750041554449126,135488.30607207492,Pastry
20210103-9,758,LI4,2021-01-03,3.7701436212519184,135488.30607207492,Pastry
20210104-1,208,LI1,2021-01-04,2.5164358450565487,57471.10649012029,Pastry
20210104-2,1158,LI1,2021-01-04,2.3369497881503776,131068.09008168057,Pastry
20210104-3,1342,LI2,2021-01-04,2.7956826691981407,79347.36366849393,Pastry
20210104-4,148,LI2,2021-01-04,2.9652939302846786,29969.851493369788,Pastry
