order_id,product_id,order_date,order_quantity,unit_price,order_status,delivery_date,sales,customer_id
1,1,1/2/2023,5,50.21,Completed,1/16/2023,250,125
2,1,2/10/2023,8,50.21,Completed,2/22/2023,400,123
3,3,6/28/2023,5,100.21,Completed,7/7/2023,NA,114
4,2,4/19/2023,9,75.21,Completed,5/1/2023,675,108
5,2,3/29/2023,7,75.21,Completed,4/10/2023,525,132
6,2,3/13/2023,10,75.21,Completed,3/23/2023,750,131
7,1,2/9/2023,9,50.21,Completed,2/20/2023,NA,105
8,1,2/25/2023,7,50.21,Completed,3/5/2023,350,148
9,4,3/28/2023,9,150.21,Cancelled,4/6/2023,1350,103
10,1,1/27/2023,6,50.21,Completed,2/6/2023,300,107
11,1,1/24/2023,10,50.21,Completed,2/2/2023,500,109
12,1,4/8/2023,5,50.21,Completed,4/22/2023,250,140
13,2,1/25/2023,5,75.21,Completed,2/7/2023,375,110
14,2,4/2/2023,10,75.21,Completed,4/13/2023,750,150
15,1,3/30/2023,6,50.21,Completed,4/9/2023,300,143
16,2,6/4/2023,7,75.21,Completed,6/16/2023,525,127
17,4,3/9/2023,5,150.21,Completed,3/16/2023,750,138
18,2,1/12/2023,6,75.21,Completed,1/22/2023,450,104
19,4,4/28/2023,5,150.21,Completed,5/5/2023,750,124
20,3,5/18/2023,8,100.21,Completed,5/30/2023,800,124
